"Chinook Salmon, Kenai River, Oct. 1998"
"total fish length mm =" 775
"fish mass g =" 00
"number of swimbladder chambers=" 1
"x,   z-upper,   z-lower,   width"
"fish body"
         775
      149.000      48.3151     -86.6565      296.624
      150.000      48.7178     -87.3181      296.624
      151.000      48.9192     -87.5482      297.175
      152.000      49.1205     -87.7496      298.276
      153.000      49.5232     -88.1523      298.826
      154.000      49.7246     -88.3537      299.377
      155.000      49.7246     -88.5550      300.478
      156.000      49.7246     -88.9578      301.028
      157.000      49.7246     -89.1591      301.657
      158.000      49.9260     -89.1591      302.915
      159.000      50.3287     -89.3605      303.545
      160.000      50.5301     -89.9646      303.545
      161.000      50.5301     -90.5687      304.646
      162.000      50.5301     -90.9714      306.847
      163.000      50.7602     -91.3741      307.948
      164.000      51.2205     -91.5755      307.948
      165.000      51.4506     -91.7769      307.948
      166.000      51.4506     -92.1796      307.948
      167.000      51.4506     -92.3810      307.948
      168.000      51.4506     -92.3810      307.948
      169.000      51.6520     -92.6111      307.948
      170.000      52.0547     -93.0714      308.499
      171.000      52.4574     -93.5028      309.600
      172.000      52.8601     -93.9056      310.701
      173.000      53.0615     -94.1069      311.802
      174.000      53.0615     -94.1069      312.352
      175.000      53.0615     -94.3083      312.352
      176.000      53.2629     -94.7110      312.352
      177.000      53.6656     -95.1138      312.352
      178.000      54.0683     -95.5165      312.903
      179.000      54.4711     -95.7178      314.004
      180.000      54.6724     -95.7178      314.554
      181.000      54.6724     -95.7178      314.554
      182.000      54.6724     -95.9192      314.554
      183.000      54.6724     -96.3219      314.554
      184.000      54.8738     -96.7247      314.554
      185.000      55.2765     -97.1274      314.554
      186.000      55.4779     -97.3288      315.104
      187.000      55.4779     -97.3288      316.205
      188.000      55.7080     -97.5301      316.756
      189.000      56.1683     -97.9329      317.306
      190.000      56.3984     -98.3356      318.407
      191.000      56.3984     -98.7383      318.958
      192.000      56.3984     -98.9397      319.508
      193.000      56.3984     -98.9397      320.609
      194.000      56.3984     -99.1698      321.160
      195.000      56.3984     -99.6301      321.160
      196.000      56.3984     -99.8602      321.160
      197.000      56.3984     -100.062      321.160
      198.000      56.3984     -100.464      321.160
      199.000      56.3984     -100.867      321.160
      200.000      56.5998     -101.270      321.160
      201.000      57.0025     -101.471      321.710
      202.000      57.2039     -101.672      322.811
      203.000      57.2039     -102.075      323.362
      204.000      57.4052     -102.277      323.362
      205.000      57.8079     -102.478      323.912
      206.000      58.0093     -103.082      325.013
      207.000      58.0093     -103.686      325.563
      208.000      58.0093     -104.089      325.563
      209.000      58.0093     -104.492      325.563
      210.000      58.2107     -104.923      325.563
      211.000      58.6134     -105.383      325.563
      212.000      58.8148     -105.613      326.193
      213.000      58.8148     -105.815      327.451
      214.000      58.8148     -106.218      328.080
      215.000      59.0161     -106.419      328.080
      216.000      59.4188     -106.620      328.080
      217.000      59.6202     -107.023      328.080
      218.000      59.6202     -107.224      328.080
      219.000      59.6202     -107.426      328.080
      220.000      59.8216     -107.828      328.080
      221.000      60.2243     -108.030      328.080
      222.000      60.4257     -108.231      328.080
      223.000      60.4257     -108.634      328.630
      224.000      60.4257     -108.835      329.731
      225.000      60.4257     -108.835      329.731
      226.000      60.4257     -108.835      329.181
      227.000      60.6271     -109.037      329.731
      228.000      61.0298     -109.439      330.282
      229.000      61.2311     -109.641      330.832
      230.000      61.2311     -109.641      331.933
      231.000      61.2311     -109.641      332.484
      232.000      61.2311     -109.641      332.484
      233.000      61.2311     -109.641      332.484
      234.000      61.2311     -109.842      332.484
      235.000      61.2311     -110.245      332.484
      236.000      61.2311     -110.446      332.562
      237.000      61.2311     -110.446      332.719
      238.000      61.4613     -110.446      332.798
      239.000      61.9215     -110.446      332.798
      240.000      62.1517     -110.446      332.798
      241.000      62.1517     -110.446      332.798
      242.000      62.1517     -110.676      333.349
      243.000      62.1517     -111.137      334.450
      244.000      62.1517     -111.367      334.450
      245.000      62.3530     -111.367      333.899
      246.000      62.7558     -111.568      334.450
      247.000      62.9571     -111.971      334.371
      248.000      62.7558     -112.172      333.113
      249.000      62.3530     -112.172      332.484
      250.000      62.3530     -112.172      332.484
      251.000      62.7558     -112.172      332.484
      252.000      62.9571     -112.374      332.484
      253.000      62.9571     -112.776      332.484
      254.000      62.9571     -112.978      332.484
      255.000      62.9571     -113.179      332.484
      256.000      62.9571     -113.582      332.484
      257.000      63.1585     -113.783      332.484
      258.000      63.5612     -113.984      331.933
      259.000      63.7626     -114.387      330.832
      260.000      63.7626     -114.589      330.282
      261.000      63.7626     -114.790      330.282
      262.000      63.7626     -115.193      330.282
      263.000      63.7626     -115.394      330.911
      264.000      63.7626     -115.394      332.169
      265.000      63.9639     -115.394      332.798
      266.000      64.3667     -115.595      332.798
      267.000      64.5680     -115.998      332.798
      268.000      64.5680     -116.199      332.169
      269.000      64.5680     -116.199      330.911
      270.000      64.5680     -116.199      330.282
      271.000      64.5680     -116.199      330.282
      272.000      64.5680     -116.199      330.282
      273.000      64.5680     -116.199      330.282
      274.000      64.5680     -116.401      330.282
      275.000      64.7694     -116.804      329.653
      276.000      65.1721     -117.005      328.394
      277.000      65.3735     -117.005      327.765
      278.000      65.3735     -117.005      327.765
      279.000      65.3735     -117.005      327.765
      280.000      65.3735     -117.005      327.765
      281.000      65.3735     -117.005      327.765
      282.000      65.5748     -117.005      327.765
      283.000      65.9776     -117.005      327.215
      284.000      66.1790     -117.005      326.114
      285.000      66.1790     -117.005      325.563
      286.000      66.1790     -117.005      325.563
      287.000      66.1790     -117.005      325.563
      288.000      66.1790     -117.005      324.462
      289.000      66.4091     -117.005      322.261
      290.000      66.8693     -117.005      321.710
      291.000      67.0995     -117.005      322.261
      292.000      67.0995     -117.005      321.710
      293.000      67.0995     -117.005      321.160
      294.000      67.0995     -117.005      320.609
      295.000      67.0995     -117.005      319.508
      296.000      67.0995     -117.005      318.407
      297.000      67.0995     -117.005      317.306
      298.000      67.0995     -117.005      316.756
      299.000      67.0995     -117.005      316.756
      300.000      67.0995     -117.005      316.756
      301.000      67.0995     -117.005      316.756
      302.000      67.0995     -117.005      316.756
      303.000      67.0995     -117.005      316.205
      304.000      67.3008     -117.005      315.104
      305.000      67.7036     -117.005      314.554
      306.000      67.9049     -117.005      314.554
      307.000      67.9049     -117.005      314.554
      308.000      67.9049     -117.005      314.004
      309.000      67.9049     -117.005      312.903
      310.000      67.9049     -117.005      311.802
      311.000      67.9049     -117.005      310.701
      312.000      67.9049     -117.005      310.150
      313.000      67.9049     -117.005      310.150
      314.000      67.9049     -117.005      310.150
      315.000      67.9049     -117.005      310.150
      316.000      67.9049     -117.005      310.150
      317.000      67.9049     -117.005      309.600
      318.000      67.9049     -117.005      308.499
      319.000      67.9049     -117.005      307.948
      320.000      67.9049     -117.005      307.319
      321.000      67.9049     -117.005      306.061
      322.000      67.9049     -117.005      305.432
      323.000      67.9049     -117.005      305.432
      324.000      67.9049     -117.005      304.331
      325.000      68.1063     -117.005      302.129
      326.000      68.5090     -117.005      301.028
      327.000      68.7104     -117.005      301.028
      328.000      68.7104     -117.005      300.478
      329.000      68.7104     -117.005      299.377
      330.000      68.7104     -117.005      298.826
      331.000      68.7104     -117.005      298.826
      332.000      68.7104     -117.005      298.826
      333.000      68.7104     -117.005      298.826
      334.000      68.7104     -117.005      298.826
      335.000      68.7104     -117.005      298.826
      336.000      68.7104     -117.005      297.725
      337.000      68.9117     -117.005      295.523
      338.000      69.3145     -117.005      294.423
      339.000      69.5158     -116.804      294.423
      340.000      69.5158     -116.401      294.423
      341.000      69.5158     -116.199      294.423
      342.000      69.5158     -116.199      293.322
