"Lavnun 4, Lake Kinneret, Apr. 98 rotated"
"total fish length mm =" 105
"fish mass g =" 8.44
"number of swimbladder chambers=" 2
"x,   z-upper,   z-lower,   width"
"fish body"
      95
      0.00000      0.00000      0.00000      0.00000
      1.00000      1.53352     -1.96648      1.89655
      2.00000      2.29324     -3.04010      3.26207
      3.00000      2.66604     -3.58396      4.17241
      4.00000      3.03884     -4.04449      4.93103
      5.00000      3.41166     -4.50501      5.61379
      6.00000      3.86779     -4.88221      6.14483
      7.00000      4.32394     -5.09273      6.75172
      8.00000      4.69674     -5.30326      7.51034
      9.00000      5.15288     -5.68045      8.04138
      10.0000      5.60903     -6.05764      8.34483
      11.0000      5.98183     -6.35150      8.64828
      12.0000      6.35463     -6.64537      8.80000
      13.0000      6.72745     -6.93922      8.72414
      14.0000      7.10025     -7.14975      8.57242
      15.0000      7.47306     -7.27694      8.49655
      16.0000      7.84587     -7.40414      8.57242
      17.0000      8.21867     -7.53133      8.72414
      18.0000      8.50815     -7.65852      8.87586
      19.0000      8.71429     -7.78572      9.10345
      20.0000      9.00376     -7.91291      9.40690
      21.0000      9.37657     -7.95677      9.63448
      22.0000      9.66604     -8.00063      9.71035
      23.0000      9.78885     -8.12782      9.78621
      24.0000      9.91165     -8.17168      9.93793
      25.0000      10.1178     -8.13221      10.0897
      26.0000      10.3239     -8.17606      10.2414
      27.0000      10.5301     -8.30326      10.3172
      28.0000      10.7362     -8.34712      10.3931
      29.0000      10.9424     -8.30764      10.5448
      30.0000      11.0652     -8.35151      10.6207
      31.0000      11.1046     -8.47870      10.6207
      32.0000      11.1441     -8.52256      10.6207
      33.0000      11.1836     -8.48309      10.6207
      34.0000      11.2231     -8.44361      10.6207
      35.0000      11.2625     -8.40414      10.6207
      36.0000      11.3020     -8.36467      10.6207
      37.0000      11.3415     -8.32519      10.6207
      38.0000      11.3809     -8.28572      10.5448
      39.0000      11.4204     -8.32958      10.3931
      40.0000      11.4599     -8.45675      10.3172
      41.0000      11.4994     -8.50058      10.3172
      42.0000      11.5388     -8.46111      10.3172
      43.0000      11.4950     -8.42163      10.3172
      44.0000      11.3678     -8.38216      10.2414
      45.0000      11.3239     -8.25938      10.0897
      46.0000      11.2801     -8.05326      10.0517
      47.0000      11.1112     -7.88879      10.0897
      48.0000      10.9840     -7.76598      10.0517
      49.0000      10.8985     -7.68484      10.0138
      50.0000      10.7713     -7.64537      10.0138
      51.0000      10.6441     -7.60589      10.0138
      52.0000      10.4336     -7.48309      10.0897
      53.0000      10.2231     -7.27695      10.2414
      54.0000      10.0959     -7.15414      10.2414
      55.0000      9.88534     -7.11467      10.0138
      56.0000      9.67482     -6.99185      9.78621
      57.0000      9.54762     -6.78572      9.71035
      58.0000      9.33709     -6.66291      9.71035
      59.0000      9.04324     -6.62343      9.55862
      60.0000      8.74937     -6.50063      9.25517
      61.0000      8.45551     -6.21116      9.10345
      62.0000      8.16166     -5.92168      8.95173
      63.0000      7.95113     -5.79888      8.64828
      64.0000      7.82394     -5.67606      8.49655
      65.0000      7.61341     -5.46992      8.49655
      66.0000      7.31955     -5.34712      8.42069
      67.0000      7.10903     -5.22431      8.19310
      68.0000      6.98183     -5.01817      7.96552
      69.0000      6.77130     -4.89537      7.81379
      70.0000      6.56078     -4.77256      7.66207
