<meta>

    Title = Sardine
    Fish_Length =  210.00
    Fish_Mass =  -99.00
    nsb =  1
    Bladder_Type =  0
    Rotated = NA
    Smoothed[lfb,dfb,lsb,dsb] = 0,0,0,0
    Images = NA
    Preparer = Josiah Renfree
   
    modified data from Josiah by closing the ends and add to length

    File created: 11 March 2011

</meta>
x       z-upper   z-lower   width      stbd      port
fishbody
380
85.00	18.06	-24.17	26.11
85.56	18.06	-24.17	26.11
86.12	18.06	-24.17	26.11
86.67	18.06	-24.17	26.11
87.23	18.06	-24.17	26.11
87.78	18.06	-24.17	26.11
88.34	18.61	-23.61	26.11
88.89	18.61	-23.61	26.11
89.45	18.61	-23.61	26.11
90.00	18.61	-23.61	26.11
90.56	18.61	-23.61	26.11
91.12	18.61	-23.61	26.11
91.67	18.61	-23.61	26.11
92.23	18.61	-23.61	26.11
92.78	18.61	-23.61	26.11
93.34	18.06	-24.17	26.11
93.89	18.06	-24.17	26.11
94.45	18.06	-24.17	26.11
95.00	18.06	-24.17	26.11
95.56	18.06	-24.17	26.11
96.12	18.06	-24.17	26.11
96.67	18.06	-24.17	26.11
97.23	18.06	-24.17	26.11
97.78	18.06	-24.17	26.11
98.34	17.50	-24.17	26.11
98.89	17.50	-24.17	26.11
99.45	17.50	-24.17	26.11
100.00	17.50	-24.17	26.11
100.56	17.50	-24.17	26.11
101.12	17.50	-24.17	26.11
101.67	17.50	-24.17	26.11
102.23	16.94	-24.17	26.11
102.78	16.94	-24.17	26.11
103.34	16.94	-24.17	25.56
103.89	16.94	-24.17	25.56
104.45	16.39	-24.17	25.56
105.00	16.39	-24.17	25.56
105.56	16.39	-24.17	25.56
106.12	16.39	-24.17	25.56
106.67	16.39	-24.17	25.56
107.23	16.39	-24.17	25.56
107.78	16.39	-24.17	25.56
108.34	15.83	-24.17	25.00
108.89	15.83	-24.17	25.00
109.45	15.83	-24.17	25.00
110.00	15.83	-24.17	25.00
110.56	15.83	-24.17	25.00
111.12	15.83	-24.17	25.00
111.67	15.83	-24.17	25.00
112.23	15.83	-24.17	25.00
112.78	15.83	-24.17	25.00
113.34	15.28	-23.61	24.44
113.89	15.28	-23.61	24.44
114.45	15.28	-23.61	24.44
115.00	15.28	-23.61	24.44
115.56	15.28	-23.61	24.44
116.12	15.28	-23.61	24.44
116.67	15.28	-23.61	24.44
117.23	15.28	-23.61	24.44
117.78	15.28	-23.61	24.44
118.34	14.72	-23.06	23.89
118.89	14.72	-23.06	23.89
119.45	14.72	-23.06	23.89
120.00	14.72	-23.06	23.89
120.56	14.72	-23.06	23.89
121.12	14.72	-23.06	23.89
121.67	14.72	-23.06	23.89
122.23	14.72	-23.06	23.89
