<meta>

    Title = Atlantic herring 011- frozen Straightened Smoothed
    Fish_Length =  222.00
    Fish_Mass =  -99.00
    nsb =  1
    Bladder_Type =  0
    Rotated =  s-lfb
    Smoothed[lfb,dfb,lsb,dsb] =  13, 13,  9,  9
    Images = L:\fishdat\aherr\atlantic_herring_011-fb-lateral.png,L:\fishdat\aherr\atlantic_herring_011-fb-dorsal.png,L:\fishdat\aherr\atlantic_herring_011-sb-lateral.png,L:\fishdat\aherr\atlantic_herring_011-sb-dorsal.png
    Preparer = B. Bell and M. Jech from frozen herring - frozen Sept. 2000

    straighten lfb, smooth lfb, dfb, lsb, dsb

    File created: Wed Jul 31 12:30:26 2002

</meta>
       x       z-upper   z-lower   width      stbd      port
smoothed dorsal fishbody
     222
    156.00     17.73    -18.36     16.99
    157.00     17.51    -18.16     16.86
    158.00     17.30    -17.97     16.74
    159.00     17.10    -17.77     16.62
    160.00     16.90    -17.58     16.51
    161.00     16.71    -17.37     16.41
    162.00     16.52    -17.16     16.33
    163.00     16.32    -16.94     16.26
    164.00     16.10    -16.72     16.19
    165.00     15.88    -16.49     16.12
    166.00     15.64    -16.25     16.04
    167.00     15.40    -16.02     15.93
    168.00     15.14    -15.77     15.81
    169.00     14.87    -15.52     15.65
    170.00     14.60    -15.26     15.48
    171.00     14.33    -14.99     15.31
    172.00     14.04    -14.71     15.14
    173.00     13.75    -14.42     14.99
    174.00     13.46    -14.12     14.86
    175.00     13.15    -13.80     14.73
    176.00     12.85    -13.48     14.62
    177.00     12.55    -13.16     14.49
    178.00     12.25    -12.83     14.35
    179.00     11.97    -12.51     14.18
    180.00     11.70    -12.20     13.99
    181.00     11.44    -11.90     13.77
    182.00     11.21    -11.62     13.54
    183.00     11.00    -11.35     13.31
    184.00     10.81    -11.11     13.09
    185.00     10.64    -10.88     12.88
    186.00     10.49    -10.68     12.68
    187.00     10.35    -10.50     12.50
    188.00     10.22    -10.34     12.33
    189.00     10.10    -10.20     12.15
    190.00      9.96    -10.07     11.98
    191.00      9.82     -9.94     11.80
    192.00      9.68     -9.83     11.62
    193.00      9.53     -9.72     11.43
    194.00      9.37     -9.61     11.24
    195.00      9.21     -9.50     11.04
    196.00      9.04     -9.39     10.85
    197.00      8.87     -9.29     10.66
    198.00      8.70     -9.20     10.46
    199.00      8.54     -9.12     10.25
    200.00      8.38     -9.07     10.03
    201.00      8.23     -9.05      9.80
    202.00      8.09     -9.06      9.56
    203.00      7.95     -9.10      9.29
    204.00      7.83     -9.15      8.99
    205.00      7.72     -9.20      8.69
    206.00      7.62     -9.25      8.37
    207.00      7.53     -9.29      8.02
    208.00      7.45     -9.29      7.64
    209.00      7.39     -9.27      7.25
    210.00      7.34     -9.21      6.86
    211.00      7.30     -9.14      6.46
    212.00      7.27     -9.03      6.06
    213.00      7.24     -8.89      5.67
    214.00      7.19     -8.71      5.31
    215.00      7.10     -8.45      4.96
    216.00      6.86     -8.02      4.57
    217.00      6.48     -7.44      4.14
    218.00      5.95     -6.70      3.68
    219.00      5.28     -5.84      3.19
    220.00      4.48     -4.87      2.67
    221.00      3.56     -3.81      2.11
    222.00      0.02      0.02      0.00
smoothed dorsal swimbladder 0
      67
     67.00      3.90      3.90      0.00
     68.00      4.37      3.47      1.26
     69.00      4.48      3.18      1.77
     70.00      4.57      2.86      2.26
     71.00      4.65      2.52      2.70
     72.00      4.70      2.19      3.09
     73.00      4.72      1.88      3.41
     74.00      4.70      1.59      3.71
     75.00      4.64      1.33      4.03
     76.00      4.55      1.07      4.35
     77.00      4.43      0.81      4.67
     78.00      4.30      0.54      4.95
     79.00      4.17      0.27      5.18
     80.00      4.05     -0.01      5.37
     81.00      3.94     -0.30      5.51
     82.00      3.84     -0.58      5.63
     83.00      3.75     -0.86      5.72
     84.00      3.67     -1.12      5.81
     85.00      3.58     -1.38      5.89
     86.00      3.46     -1.66      5.94
     87.00      3.32     -1.94      5.99
     88.00      3.16     -2.23      6.02
     89.00      2.98     -2.53      6.05
     90.00      2.81     -2.83      6.07
     91.00      2.65     -3.11      6.10
     92.00      2.50     -3.37      6.11
     93.00      2.35     -3.61      6.11
     94.00      2.22     -3.82      6.09
     95.00      2.09     -4.00      6.05
     96.00      1.98     -4.14      6.01
     97.00      1.88     -4.25      5.95
     98.00      1.80     -4.33      5.89
     99.00      1.73     -4.39      5.82
    100.00      1.67     -4.43      5.76
    101.00      1.63     -4.46      5.69
    102.00      1.62     -4.49      5.63
    103.00      1.63     -4.51      5.57
    104.00      1.65     -4.53      5.52
    105.00      1.66     -4.55      5.46
    106.00      1.62     -4.57      5.41
    107.00      1.52     -4.59      5.36
    108.00      1.36     -4.61      5.32
    109.00      1.15     -4.64      5.30
    110.00      0.91     -4.67      5.32
    111.00      0.67     -4.69      5.35
    112.00      0.43     -4.71      5.42
    113.00      0.21     -4.72      5.50
    114.00      0.01     -4.72      5.60
    115.00     -0.17     -4.74      5.71
    116.00     -0.32     -4.75      5.81
    117.00     -0.45     -4.78      5.91
    118.00     -0.58     -4.80      6.01
    119.00     -0.72     -4.82      6.10
    120.00     -0.85     -4.81      6.20
    121.00     -0.99     -4.79      6.31
    122.00     -1.13     -4.75      6.42
    123.00     -1.28     -4.69      6.54
    124.00     -1.42     -4.64      6.65
    125.00     -1.55     -4.58      6.72
    126.00     -1.68     -4.51      6.73
    127.00     -1.79     -4.44      6.67
    128.00     -1.90     -4.35      6.50
    129.00     -2.02     -4.24      6.18
    130.00     -2.15     -4.09      5.61
    131.00     -2.29     -3.92      4.82
    132.00     -2.45     -3.73      3.86
    133.00     -2.61     -3.52      2.79
    134.00     -2.98     -2.98      0.00
