"Lavnun 5, Lake Kinneret, Apr. 98 rotated"
"total fish length mm =" 135
"fish mass g =" 18.88
"number of swimbladder chambers=" 2
"x,   z-upper,   z-lower,   width"
"fish body"
     112
      0.00000      0.00000      0.00000      0.00000
      1.00000      1.82522     -2.39978      2.17778
      2.00000      2.67545     -3.82455      3.65556
      3.00000      3.11942     -4.76183      4.74445
      4.00000      3.56339     -5.69911      5.83333
      5.00000      3.84487     -6.55513      6.76667
      6.00000      4.12634     -7.24866      7.54444
      7.00000      4.48906     -7.86094      8.24444
      8.00000      4.85179     -8.39196      8.86666
      9.00000      5.21451     -8.76049      9.56667
      10.0000      5.57723     -9.12902      10.2667
      11.0000      5.85871     -9.57879      10.8889
      12.0000      6.14018     -9.94732      11.5111
      13.0000      6.50290     -10.2346      11.9778
      14.0000      6.78437     -10.5219      12.1333
      15.0000      7.06585     -10.7279      12.1333
      16.0000      7.42857     -10.8526      12.2111
      17.0000      7.71004     -11.0587      12.4444
      18.0000      7.91027     -11.2647      12.6778
      19.0000      8.19174     -11.3895      12.7556
      20.0000      8.55446     -11.5955      12.7556
      21.0000      8.83594     -11.8016      12.7556
      22.0000      9.03616     -11.9264      12.8333
      23.0000      9.23638     -12.1324      12.9889
      24.0000      9.43661     -12.4196      13.1444
      25.0000      9.63683     -12.6256      13.3000
      26.0000      9.83705     -12.6692      13.3778
      27.0000      10.0373     -12.6315      13.3778
      28.0000      10.2375     -12.6750      13.3778
      29.0000      10.4377     -12.8810      13.3000
      30.0000      10.5567     -13.1683      13.1444
      31.0000      10.5944     -13.3744      13.0667
      32.0000      10.6321     -13.4991      13.0667
      33.0000      10.6699     -13.6238      12.9889
      34.0000      10.7076     -13.7486      12.8333
      35.0000      10.7453     -13.8734      12.7556
      36.0000      10.7830     -13.9982      12.8333
      37.0000      10.8208     -14.1229      12.9889
      38.0000      10.8585     -14.2477      13.0667
      39.0000      10.8962     -14.3726      13.0667
      40.0000      10.9339     -14.4161      13.0667
      41.0000      10.9717     -14.4596      13.1444
      42.0000      11.0094     -14.5844      13.3000
      43.0000      11.0471     -14.6279      13.3778
      44.0000      11.0036     -14.5902      13.3778
      45.0000      10.8788     -14.6337      13.3778
      46.0000      10.8353     -14.7584      13.3778
      47.0000      10.8730     -14.8020      13.3778
      48.0000      10.8295     -14.7643      13.3778
      49.0000      10.7047     -14.7266      13.2222
      50.0000      10.6612     -14.6888      12.9111
      51.0000      10.6989     -14.6511      12.7556
      52.0000      10.7366     -14.6134      12.6778
      53.0000      10.6931     -14.5757      12.5222
      54.0000      10.6089     -14.5379      12.4444
      55.0000      10.5654     -14.4596      12.4444
      56.0000      10.4812     -14.3406      12.4444
      57.0000      10.4377     -14.2623      12.4444
      58.0000      10.4754     -14.2246      12.3667
      59.0000      10.4319     -14.1868      12.2111
      60.0000      10.3071     -14.0678      12.0556
      61.0000      10.1824     -13.8676      11.9000
      62.0000      10.0576     -13.7487      11.8222
      63.0000      9.93281     -13.7109      11.8222
      64.0000      9.80804     -13.6732      11.8222
      65.0000      9.68326     -13.5542      11.7444
      66.0000      9.55848     -13.3540      11.5889
      67.0000      9.43371     -13.2350      11.4333
      68.0000      9.30893     -13.1160      11.2000
      69.0000      9.18415     -12.9158      10.9667
      70.0000      8.97812     -12.7969      10.8889
      71.0000      8.77210     -12.6779      10.8889
      72.0000      8.64732     -12.4776      10.7333
      73.0000      8.52254     -12.2774      10.4222
      74.0000      8.39777     -12.0772      10.2667
      75.0000      8.19174     -11.8770      10.1889
      76.0000      7.98571     -11.6767      10.0333
      77.0000      7.86094     -11.4765      9.95555
      78.0000      7.65491     -11.2763      9.95555
      79.0000      7.44888     -11.0761      9.87778
      80.0000      7.40536     -10.7946      9.64444
      81.0000      7.36183     -10.5131      9.41111
      82.0000      7.23705     -10.3129      9.33333
      83.0000      7.11228     -10.0315      9.17778
      84.0000      6.98750     -9.66875      8.86667
      85.0000      6.86272     -9.22473      8.71111
      86.0000      6.65670     -8.78080      8.71111
      87.0000      6.45067     -8.41808      8.55556
      88.0000      6.32589     -8.05536      8.24444
      89.0000      6.20112     -7.77393      8.08889
      90.0000      6.15759     -7.49241      8.01111
      91.0000      6.19531     -7.21089      7.77778
      92.0000      6.15179     -7.01066      7.54445
      93.0000      5.94576     -6.81044      7.46667
      94.0000      5.65848     -6.69152      7.31111
      95.0000      5.45246     -6.65380      7.00000
      96.0000      5.32768     -6.61607      6.84445
      97.0000      5.12165     -6.49705      6.68889
      98.0000      4.83437     -6.29688      6.37778
      99.0000      4.62835     -6.17790      6.14444
      100.000      4.50357     -6.14018      5.91111
      101.000      4.29755     -6.10246      5.67778
      102.000      4.09152     -6.06473      5.44444
      103.000      3.96674     -6.02701      5.05555
      104.000      3.84196     -6.07054      4.66667
      105.000      3.79844     -6.19526      4.43333
      106.000      3.83616     -6.23884      4.20000
      107.000      3.87388     -6.28232      3.73333
