"Lavnun 2, Lake Kinneret, Apr. 98 rotated"
"total fish length mm =" 126
"fish mass g =" 18.84
"number of swimbladder chambers=" 2
"x,   z-upper,   z-lower,   width"
"fish body"
     111
      0.00000      0.00000      0.00000      0.00000
      1.00000      1.41091     -2.00576      4.00000
      2.00000      2.25700     -3.32633      5.83333
      3.00000      2.69568     -4.22099      6.41667
      4.00000      3.13437     -4.94897      6.91667
      5.00000      3.65639     -5.59361      7.50000
      6.00000      4.09507     -6.15493      8.33333
      7.00000      4.45043     -6.54957      9.33333
      8.00000      4.80578     -6.86090      10.2500
      9.00000      5.16112     -7.25554      11.0000
      10.0000      5.51648     -7.73352      11.5833
      11.0000      5.87183     -8.12817      11.9167
      12.0000      6.22718     -8.35615      12.0000
      13.0000      6.66587     -8.50080      12.0833
      14.0000      7.18788     -8.81212      12.2500
      15.0000      7.62657     -9.29010      12.4167
      16.0000      7.98192     -9.68471      12.6667
      17.0000      8.33727     -9.91269      13.0000
      18.0000      8.69263     -10.0574      13.3333
      19.0000      9.04797     -10.2021      13.5833
      20.0000      9.31999     -10.3466      13.7500
      21.0000      9.50868     -10.4913      13.9167
      22.0000      9.78070     -10.6360      14.0000
      23.0000      10.0527     -10.8640      14.0000
      24.0000      10.2414     -11.0920      14.0833
      25.0000      10.5134     -11.2365      14.2500
      26.0000      10.7855     -11.3812      14.4167
      27.0000      10.9741     -11.5259      14.5833
      28.0000      11.1628     -11.6705      14.6667
      29.0000      11.2681     -11.8152      14.6667
      30.0000      11.3735     -11.9599      14.6667
      31.0000      11.5622     -12.1044      14.7500
      32.0000      11.6676     -12.2491      14.9167
      33.0000      11.7729     -12.3938      15.0000
      34.0000      11.9616     -12.5384      15.0000
      35.0000      12.0669     -12.6831      15.0833
      36.0000      12.0890     -12.8277      15.2500
      37.0000      12.1110     -12.9723      15.3333
      38.0000      12.1330     -13.1170      15.3333
      39.0000      12.2383     -13.1783      15.3333
      40.0000      12.4270     -13.2397      15.4167
      41.0000      12.5323     -13.3843      15.5833
      42.0000      12.5544     -13.4456      15.6667
      43.0000      12.4931     -13.4236      15.6667
      44.0000      12.3484     -13.4016      15.6667
      45.0000      12.2871     -13.3796      15.6667
      46.0000      12.3091     -13.3576      15.7500
      47.0000      12.3312     -13.3355      15.9167
      48.0000      12.3532     -13.3135      16.0000
      49.0000      12.3752     -13.2915      15.9167
      50.0000      12.3972     -13.1861      15.8333
      51.0000      12.3359     -12.9975      15.9167
      52.0000      12.1912     -12.8921      16.0000
      53.0000      12.0466     -12.8700      15.9167
      54.0000      11.9436     -12.8480      15.7500
      55.0000      11.8823     -12.7844      15.6250
      56.0000      11.7793     -12.6790      15.5000
      57.0000      11.7180     -12.6154      15.3750
      58.0000      11.6566     -12.5934      15.2500
      59.0000      11.5121     -12.5713      15.0833
      60.0000      11.4507     -12.5493      15.0000
      61.0000      11.3894     -12.5273      14.9167
      62.0000      11.1614     -12.4219      14.7500
      63.0000      10.8501     -12.2333      14.5833
      64.0000      10.6221     -12.1278      14.3333
      65.0000      10.4775     -12.1058      14.0833
      66.0000      10.2495     -12.0838      14.0000
      67.0000      9.93817     -11.9785      13.9167
      68.0000      9.62686     -11.7898      13.7500
      69.0000      9.31555     -11.6845      13.6667
      70.0000      9.00423     -11.6624      13.5833
      71.0000      8.69292     -11.5571      13.4167
      72.0000      8.38160     -11.3684      13.3333
      73.0000      8.07028     -11.2631      13.3333
      74.0000      7.84230     -11.1577      13.3333
      75.0000      7.69766     -10.9690      13.2500
      76.0000      7.55301     -10.7803      13.0833
      77.0000      7.40835     -10.5916      12.9167
      78.0000      7.18037     -10.4863      12.7500
      79.0000      6.95239     -10.3810      12.5833
      80.0000      6.80775     -10.1923      12.3333
      81.0000      6.57977     -10.0869      12.0000
      82.0000      6.35178     -9.98151      11.6667
      83.0000      6.20713     -9.79290      11.4167
      84.0000      5.97915     -9.60418      11.2500
      85.0000      5.75117     -9.41546      11.0000
      86.0000      5.60652     -9.22684      10.6667
      87.0000      5.46188     -8.95483      10.4167
      88.0000      5.31722     -8.68281      10.2500
      89.0000      5.17257     -8.49409      10.0833
      90.0000      5.02793     -8.30537      9.91667
      91.0000      4.88328     -8.11675      9.66667
      92.0000      4.73863     -7.92803      9.41667
      93.0000      4.59398     -7.73936      9.33333
      94.0000      4.53266     -7.55067      9.25000
      95.0000      4.47135     -7.36198      9.08333
      96.0000      4.32670     -7.17330      8.91667
      97.0000      4.26539     -7.06794      8.66667
      98.0000      4.28741     -6.96259      8.33333
      99.0000      4.22609     -6.77391      8.00000
      100.000      4.16477     -6.58523      7.66667
      101.000      4.27013     -6.31321      7.33333
      102.000      4.37548     -6.04119      7.00000
      103.000      4.48083     -5.93583      6.66667
      104.000      4.66951     -5.91382      6.33333
      105.000      4.77486     -5.89180      6.00000
      106.000      4.88022     -5.86978      5.50000
      107.000      5.06890     -5.76443      4.83333
      108.000      5.17426     -5.49241      4.33333
      109.000      5.19627     -5.13707      4.00000
      110.000      3.90821     -3.67513      2.83333
      111.000      0.00000      0.00000      0.00000
"swimbladder chamber 1"
      16
      34.0000      1.14420      1.14420      0.00000
      35.0000      2.84175    -0.695486      6.40761
      36.0000      3.42228     -1.71602      8.75543
