"Walleye Pollock 17, Newport  OR, cl=390"
"total fish length mm =" 390
"fish mass g =" 999
"number of swimbladder chambers=" 1
"x,   z-upper,   z-lower,   width"
"fish body"
         390
      143.000      38.7870     -49.1667      39.7099
      144.000      38.7870     -49.1667      39.7964
      145.000      38.7870     -49.1667      39.7964
      146.000      38.7870     -49.1667      39.7964
      147.000      38.7870     -49.1667      39.7099
      148.000      38.7870     -49.0301      39.6234
      149.000      38.7870     -48.7570      39.7099
      150.000      38.6504     -48.6204      39.7964
      151.000      38.3773     -48.4838      39.7964
      152.000      38.1041     -48.2107      39.7099
      153.000      37.6944     -48.0741      39.3639
      154.000      37.2847     -48.0741      39.0178
      155.000      37.0116     -48.0741      39.0178
      156.000      36.7384     -48.0741      39.1043
      157.000      36.4653     -48.0741      39.1043
      158.000      36.1921     -48.0741      39.0178
      159.000      35.9190     -48.0741      38.6718
      160.000      35.6458     -48.2107      38.2392
      161.000      35.3727     -48.3472      38.1527
      162.000      34.9629     -48.2107      38.3257
      163.000      34.5532     -48.0741      38.4122
      164.000      34.2801     -48.0741      38.4122
      165.000      34.0069     -47.9375      38.2392
      166.000      33.7338     -47.6644      37.8066
      167.000      33.4606     -47.5278      37.5471
      168.000      33.1875     -47.5278      37.6336
      169.000      32.9143     -47.3912      37.7201
      170.000      32.6412     -47.1181      37.7201
      171.000      32.3680     -46.9815      37.5471
      172.000      32.2315     -46.9815      37.2010
      173.000      32.0949     -46.8449      36.9415
      174.000      31.8218     -46.5718      36.6819
      175.000      31.6852     -46.4352      36.4224
      176.000      31.6852     -46.4352      36.3359
      177.000      31.5486     -46.2986      36.1628
      178.000      31.2754     -46.0255      35.8168
      179.000      31.1389     -45.8889      35.5573
      180.000      31.1389     -45.8889      35.4707
      181.000      31.1389     -45.7523      35.4707
      182.000      31.1389     -45.4792      35.2977
      183.000      31.1389     -45.3426      34.9517
      184.000      31.1389     -45.2060      34.6921
      185.000      31.1389     -44.9329      34.5191
      186.000      31.1389     -44.7963      34.3461
      187.000      31.1389     -44.6597      34.2595
      188.000      31.0023     -44.3866      34.1730
      189.000      30.7291     -44.2500      33.8270
      190.000      30.5926     -44.1134      33.3079
      191.000      30.5926     -43.7037      32.9618
      192.000      30.5926     -43.2940      32.8753
      193.000      30.4560     -43.1574      32.7888
      194.000      30.1829     -43.0208      32.4427
      195.000      30.0463     -42.6111      31.9237
      196.000      29.7731     -42.0648      31.4911
      197.000      29.2268     -41.6551      30.9720
      198.000      28.9537     -41.3820      30.3664
      199.000      28.9537     -40.9722      30.0204
      200.000      28.8171     -40.5625      29.8473
      201.000      28.5440     -40.2894      29.8473
      202.000      28.4074     -40.0162      30.0636
      203.000      28.2708     -39.7431      30.1934
      204.000      27.9977     -39.3333      30.0636
      205.000      27.8611     -38.9236      29.8473
      206.000      27.7245     -38.6505      29.6743
      207.000      27.4514     -38.3773      29.4148
      208.000      27.3148     -38.1042      29.1552
      209.000      27.1782     -37.8310      28.9822
      210.000      26.9051     -37.6945      28.8092
      211.000      26.7685     -37.5579      28.7226
      212.000      26.6319     -37.2847      28.7226
      213.000      26.3588     -37.1482      28.6361
      214.000      26.0856     -37.0116      28.3766
      215.000      25.8125     -36.7384      28.1170
      216.000      25.6759     -36.6019      27.9440
      217.000      25.6076     -36.6019      27.8575
      218.000      25.4711     -36.3970      27.8575
      219.000      25.4028     -35.9873      27.6845
      220.000      25.2662     -35.7824      27.3384
      221.000      24.9930     -35.7824      27.0789
      222.000      24.8565     -35.6458      26.9058
      223.000      24.7199     -35.3727      26.8193
      224.000      24.4468     -35.2361      26.8193
      225.000      24.3102     -35.2361      26.6463
      226.000      24.3102     -35.2361      26.3003
      227.000      24.3102     -35.0995      25.9542
      228.000      24.3102     -34.6898      25.6081
      229.000      24.3102     -34.2801      25.3486
      230.000      24.3102     -34.1435      25.1756
      231.000      24.1736     -34.1435      24.9160
      232.000      23.9004     -34.0070      24.5700
      233.000      23.7639     -33.7338      24.2239
      234.000      23.7639     -33.4607      23.9644
      235.000      23.7639     -33.1875      23.7913
      236.000      23.7639     -33.0509      23.7048
      237.000      23.7639     -32.9144      23.7048
      238.000      23.6273     -32.6412      23.4453
      239.000      23.3541     -32.3681      23.0127
      240.000      23.2176     -32.0949      22.9262
      241.000      23.2176     -31.8218      23.0992
      242.000      23.2176     -31.5486      23.1857
      243.000      23.2176     -31.2755      23.0992
      244.000      23.0810     -31.0023      22.8397
      245.000      22.8079     -30.7292      22.4936
      246.000      22.6713     -30.4560      22.1476
      247.000      22.6713     -30.1829      21.8880
      248.000      22.6713     -29.9097      21.8015
      249.000      22.5347     -29.7732      21.8015
      250.000      22.2616     -29.6366      21.7150
      251.000      22.1250     -29.3634      21.4555
      252.000      22.1250     -29.0903      21.1959
      253.000      21.9884     -28.8171      21.0229
      254.000      21.7153     -28.5440      20.9364
      255.000      21.5787     -28.2708      20.9364
      256.000      21.4421     -28.1343      20.8499
      257.000      21.1690     -27.9977      20.6768
      258.000      21.0324     -27.7245      20.5038
      259.000      21.0324     -27.5880      20.3308
      260.000      20.8958     -27.5880      20.2443
      261.000      20.6227     -27.4514      20.2443
      262.000      20.4861     -27.1783      20.1578
      263.000      20.4861     -27.0417      19.9847
      264.000      20.4861     -26.9051      19.8117
      265.000      20.3495     -26.6320      19.7252
      266.000      20.0764     -26.4954      19.7252
      267.000      19.9398     -26.4954      19.7252
      268.000      19.9398     -26.4954      19.7252
      269.000      19.9398     -26.4954      19.5522
      270.000      19.9398     -26.4954      19.2926
      271.000      19.9398     -26.4954      19.2926
      272.000      19.9398     -26.4954      19.3791
      273.000      19.9398     -26.4954      19.3791
      274.000      19.9398     -26.3588      19.3791
      275.000      19.9398     -26.0857      19.2061
      276.000      19.9398     -26.0857      18.8601
      277.000      19.8032     -26.3588      18.7735
      278.000      19.5301     -26.3588      18.8601
      279.000      19.3935     -26.0857      18.8600
      280.000      19.2569     -25.9491      18.9466
      281.000      18.9838     -25.9491      18.8600
      282.000      18.8472     -25.9491      18.5140
      283.000      18.7106     -25.9491      18.2545
      284.000      18.4375     -25.8125      18.1679
      285.000      18.1643     -25.4028      18.3410
      286.000      17.8912     -24.9931      18.5140
      287.000      17.7546     -24.7199      18.3410
      288.000      17.6180     -24.4468      17.9949
      289.000      17.3449     -24.1736      17.8219
      290.000      17.0717     -23.9005      17.8219
      291.000      16.7986     -23.6273      17.8219
      292.000      16.7986     -23.3542      17.9084
      293.000      17.0717     -22.9445      17.9084
      294.000      17.0717     -22.3982      17.6489
      295.000      16.7986     -21.9884      17.3028
      296.000      16.6620     -21.7153      17.1298
      297.000      16.6620     -21.4421      17.2163
      298.000      16.5254     -21.1690      17.3028
      299.000      16.2523     -20.8958      17.3028
      300.000      16.1157     -20.4861      17.1298
      301.000      16.1157     -20.0764      16.7837
      302.000      16.1157     -19.8033      16.5242
      303.000      15.9791     -19.5301      16.4377
      304.000      15.7060     -19.2570      16.6107
      305.000      15.5694     -18.9838      16.7837
      306.000      15.5694     -18.7107      16.6107
      307.000      15.4329     -18.4375      16.2646
      308.000      15.1597     -18.3009      16.0051
      309.000      15.0231     -18.1644      15.9186
      310.000      14.8866     -17.8912      16.0051
      311.000      14.6134     -17.6181      16.0916
      312.000      14.3403     -17.3449      15.9186
      313.000      14.0671     -17.2083      15.5725
      314.000      13.9305     -17.0718      15.3130
      315.000      13.9305     -16.7986      15.3130
      316.000      13.7940     -16.6620      15.4860
      317.000      13.5208     -16.6620      15.5725
      318.000      13.3842     -16.5255      15.3995
      319.000      13.3842     -16.2523      15.0534
      320.000      13.3842     -16.1158      14.8804
      321.000      13.3842     -15.9792      14.8804
      322.000      13.3842     -15.7060      14.8804
